Author,Comment,Video_ID,Channel_ID,Published_At
@einanderer2738,"Ich liebe engagierte, individuelle Stimmen – insofern 👍🏻.
Was ich nicht verstehe, ist die Ausblendung eines völlig aufgeblasenen US-Dollars. Was passiert, wenn die US-Inflation in eine Hyperinflation abrutscht? Eben! 🤗",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-06T08:11:13Z
@markifantja,"Lieber Florian,
ich bin erst vor Kurzem auf Sie aufmerksam geworden und bin wirklich beeindruckt von Ihren Einschätzungen.
Ganz besonders berührt hat mich dieses lange Interview, in dem Sie viel von Ihrer Frau erzählt haben.
Danke, dass Sie sich auf die Seite des Lichts gestellt haben und Ihre Aufgaben der inneren Arbeit annehmen. Durch Ihr Licht in dieses Dunkel kann vieles heilen.
Und ganz pragmatisch könnten einige Personen, die ich wegen Bußgeldrelevanz nicht namentlich nennen kann, sehr viel von Ihnen lernen, was die Wirtschaftlichkeit und Diplomatie in der Führung eines Landes angeht.
Alles Liebe - ich freue mich auf die nächsten Beiträge! ❤",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-06T09:29:49Z
@elisabethkleinekruse7068,"DAVID GEGEN GOLIAT 😉
Interesant Es kommt alles aber alles anderes  wie man es sich denkt 🥳 und plant ❤
Und Studie die ich selbst nicht gemacht habe glaube ich nicht =lege einfach kein Wert 🤴🤡😉
Danke ihnen für den zusammen Fassung allen Fakten 🎉
Wünsche ihnen einen sehr gutes Jahr 2025 ❤bleiben Sie gesund und liebe Grüße an ihre kluge Partnerin 💝✨🍸🥂🍸🥂🍰☕️☕️🍰
Wünscht 😉🤴",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-06T22:04:24Z
@Sylvia-gj8uh,❤Danke ! Leiden hat nichts mit Liebe-Licht - lebendige Freie Energie Frequenz zu tun ❤😢,RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-05T20:25:25Z
@quantentunnelable,"Lieber Herr Homm, bitte überlegen Sie mal, ob Sie unserer Regierung nicht Nachhilfeunterricht in Wirtschaft, Logik und Demokratie geben könnten. Die brauchen es dringend! Und auf sie würden sie vielleicht sogar hören... 
Für diesen Beitrag hier schon einmal herzlichen Dank!",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-06T11:11:56Z
@Johannes1952-or3se,"Der Sohn Gottes ist wieder lebendig auf der Erde. Er wird 28 Jahre brauchen, um die Erde neu zu machen. Ihr werdet Gottes Sohn spüren, aber nur seine Werke sehen. Es werden die Satanisten sich fürchten, die Kriege führen, die Menschen und Tiere verhungern lassen und die Natur zerstören. Betet jeden Abend mit mir in der Bibel. Tut Gutes und lasst das Böse. Lasst uns den anderen lieben wie uns selbst. Seht die Not und helft den Bedrängten❤❤❤❤❤",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-05T20:41:13Z
@oooodaxteroooo,"4:00 Lieber Florian, dazu gibt es aber auch die Analyse von Erich Fromm, dass die, die ""krank"" werden die sind, die noch merken, was für Scheisse um sie herum passiert! (sinngemäss). Das müsstest Du als Eliten-Opfer eigentlich SEHR GUT nachvollziehen können. Du warst ja auch bei Ruppert in Behandlung.",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-05T20:51:40Z
@karolineseibt1618,"Lieber Florian Homm, wieso wird eigentlich Naomi Seibt in diesem Zusammenhang nicht erwähnt? Sie hat Musk überhaupt erst auf Deutschland aufmerksam gemacht und die Themen, die Sie ansprechen seit sie 16 ist öffentlich publiziert. Musk hat sie abonniert und teilt ihre Beiträge, weil er sich eben nicht mit fremden Lorbeeren schmücken will.",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-07T12:18:37Z
@s.t.8898,VIELEN LIEBEN DANK...FRIEDEN und FREIHEIT...,RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-07T00:45:50Z
@cocojonas153,"Trump sollte aber bei allem nicht vergessen, dass seine Familie aus Deutschland kommt 😂

Lieber Herr Homm, würden Sie ein Video zu Ihrer Erfahrung mit dem MK-Ultra Programm machen?😅
Habe Sie in einem Interview darüber reden hören... got to be careful",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-06T10:36:33Z
@PowerofSpirit100,"Lieber Florian, danke für Deine Arbeit.
Du beschreibst die ""Aufgaben des Staates aus Sicht des Bürgers"". Mag vielleicht so stimmen, aber ich bin weder ""Bürger"" noch ""Person, ich bin ein freier Mensch! Und aus dieser Sicht hat sich dieses kranke Gedankenkonstrukt ""Staat"" totgelaufen. Der Staat und Politik sind das Problem und können deshalb nicht Teil der Lösung sein. Es gibt nichts, wirklich gar nichts, was dieses Kunstobjekt Staat, das es nur in unseren Köpfen gibt, besser machen könnte als freie Menschen!",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-06T08:02:55Z
@peterpanter8265,"Florian ich liebe deine Kommentare in allen Finanzthemen. Aber mit der Politik gerade in Deutschland gehe ich da überhaupt nicht mit dir konform. Wir sind nicht souverän. Auch nicht wenn Elon Musk jetzt sich mit Hweidi trifft. Im Endeeffekt will die USA doch genau das was wir die letzten 20 Jahre an Politiker haben. Marionetten, die dafür sorgen, dass unser Land am Boden ist, ausgesaugt wird und mittlerweile geschlachtet wird. Das war schon der Grund für den ersten und den zweiten Weltkrieg. Bloß nicht mit Russland zusammen kommen lassen. Die USA hat überhaupt kein Interesse an einem starken Deutschland. Und hat auch kein Interesse mehr an einem starken Europa. Europa ist am Ende. Es geht jetzt stramm gegen China. Europa wird jetzt noch missbraucht, um die amerikanische Rüstungsindustrie ein bisschen aufrecht zu erhalten und danach ist kein Geld mehr bei uns. Alle großen Firmen sind schon in die USA ausgewandert und wandern weiterhin aus.",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-07T17:28:42Z
@kaseihenrei4801,"Lieber Florian, glaub mir , viele Seelen dieses Volkes verstehen  die Ideologie eines Großteils der Mitmenschen auch nicht. Seit Jahren unfaßbar und es geht weiter so, diese Umfrageergebnisse sind erschütternd genauso wie die Antworten bei Straßenumfragen. Es ist zur täglichen Herausforderung meines Lebens geworden in meiner Mitte zu bleiben , obwohl es mir oftmals lieber wäre einen Sandsack zu bearbeiten .  Verblendung und Ignoranz in enormen Ausmaß .
Herzliche Grüße aus Sachsen",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-05T19:14:44Z
@SAXloungeEF,"Lieber HerrHomm, Sie sprechen als ob Deutschland ein souveräner und völlig unmanipulierter Staat sei.",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-06T02:40:34Z
@lissysweek6752,"Danke für Ihre Einschätzung lieber Herr Homm. Bleiben Sie aufrecht und stark in der Aufklärung für die noch-Minderbemittelten hier in Old Germany - Ich bin stolz, dass Sie Deutscher sind   💪😍👍jetzt ist Ihre Zeit!",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-05T19:41:27Z
@raimundsowada4302,"Sehr geehrter Herr Homm,
Ihre Aussagen  hinsichtlich der Gespräche der E. Musk-Seite, ab (00:40)
""wir suchen nach humanoider- Intelligenz..."" lässt sehr tief und weit blicken:
Ich sehe Herrn Musk als jemand der sein ganzen Erfolg durch seine Vernetzung
mit den industriel Militärisch/Medizinisches-Komplexen, der Big Data  & Big Money, Geheimdienste und nicht zuletzt durch 
D. Trump des Politischen-Etablissement zu verdanken hat.
Durch dieses Vernetzungen erhielt er die Möglichkeiten für seine verschiedenen Unternehmungen und durch Strukturkredite die Liquidität dafür.  
Also warum zum Teufel nennt man so jemanden einen Selfmade Man und als einen Mann mit D. Trump der die oben genannten Strukturen neutralisieren wird?
Herr Elon Musk ist nicht nur für mich ein Geschöpf der gerade erwähnten Komplexe/Strukturen...
Ich sehe ihn als der Mann der die Technokratische, Transhumane/Digitale Zeit einleiten soll.

In Übrigen ist Herr Musk genauso frei oder unfrei wie die Deutschen Politiker: Der Unterschied ist lediglich der, das er in der Ebene der Macht deutlich höher angesiedelt ist als die Deutschen Politiker die nicht mehr und nicht weniger als Geschäftsführer/Verwalter der besetzten Handlungskolonie BRD/Germany sind und wer ist der Hauptbesatzer?

Fazit:
Anstatt in Februar  wählen zu gehen um einen Neuen Fremdverwalter zu wählen: Diese und final Materiell abwickeln werde und
und dann zu 100% Kastriert, entrechtet und entmachtet in das oben genannte Zeitalter einfügt:

Sollten wir jetzt die Zeit nutzen und ""uns selbst zu erkennen was wir als Mensch(en) Deutsche
wirklich sind?
Sind wir, die deutschen Völker schon durch Religion, Regierung, Verbildung, Ängste zu einen Sklavenvolk verkommen wie andere Völker zuvor auch oder haben wir noch eine Chance unseres wahre Potenzial nochmal zu entwickeln zu einem Kulturvolk?

Das ist die wirkliche Wahl um die es gerade in Deutschland, Europa und Weltweit geht und jeder Mensch hat das Recht sich frei für eine Seite zu entscheiden:

Ich sehe die Bundestagswahl in Februar 2025 als die letzte Wahl seiner Art an:
Ich denke das KI - Systeme schon 2027/2028 das Regieren/die Systeme übernommen haben werden:
Daran können auch die Machtblöcke in den 1. Absatz nichts mehr ändern:

Mit lieben, gesunden und friedlichen Grüßen
Ray  

PS: Ich hoffe Herrn Musk und seinen Team mit meinem Artikel beweisen zu können: Dass es unter den Deutschen Völkern  genug Menschen gibt die ein so hohen Grad an Humanoiden Wissen (Intelligenz/Bildung ist nicht gleich Wissen:) haben um nicht nur die Wahrheit von der Lüge zu haben: 
Sondern auch keine Angst vor jeglicher Art an KI haben.
Warum den auch unseres Schöpferische Potenzial ist auch Unlimited!",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-05T18:37:20Z
@Simon-Haenel,"Lieber Florian, auch dir ein frohes neues Jahr. 🎉 :)
Imad Karim hatte ein Film dazu veröffentlicht: Plötzlich Staatsfeind wo er exakt diese Problematik im Film aufzeigt. Einfach hier auf Youtube suchen. Wurde etwa mitte Dezember 2024 veröffentlicht.
Lg Simon",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-05T19:25:19Z
@hans-rudigerdrzimmermann,"Lieber Florian Homm, beste new year Grüsse aus Lima, Peru.

Vielen Dank für dieses wunderbaren videos dass ich sehr genossen habe. 

Ich bin 2016 nach Lima ausgewandert und sehe mein Deutschland nur aus der Ferne.
Peru ist finanziel sehr stabil. China hat vor kurzem einen mega-Unterwasserpost Chancay eröffnet.
Peru wächst, Inflation nur 1.8 Prozent. Sehr günstige Energiekosten, Personalkosten etc..
Beste Wünsche aus Lima",RV6O0wSd4D4,UC9Iq-yi4q3lsnSEXltzpqcQ,2025-01-06T01:54:55Z
