"ID","Comment","Published_At","Video_ID","Label"
"0","Einfach wunderbar! Danke für deine harte Arbeit und dein Talent! 🍓🌺","2024-12-03T11:46:45Z","JOl09Mj5Ed4","bot"
"1","Sehr informativ und interessant! Danke für solche Inhalte! 💞✨","2024-12-03T12:06:31Z","1Yr1-U9kk48","bot"
"2","Sehr interessantes Videoformat! Vielen Dank für diesen unkonventionellen Ansatz! 🐱💞","2024-12-03T17:13:35Z","cHVGyJpTKQo","bot"
"3","Einfach wunderbar! Danke für deine harte Arbeit und dein Talent! 😘🍭","2024-12-03T11:12:11Z","jKUzRQURfsU","bot"
"4","Vielen Dank für Ihre harte Arbeit und die Energie, die Sie in jedes Video stecken! 👄😻👅","2024-12-03T13:24:25Z","4FtM8V7s8aU","bot"
"5","Deine Videos sind immer so hilfreich! Vielen Dank für das neue Wissen! 💚🍓","2024-12-03T11:45:47Z","a1y8JkfTOx8","bot"
"6","Ihre Videos sind immer so informativ und interessant! Ich danke Ihnen dafür! 💋🔥","2024-12-03T16:11:59Z","G_G9uV9oafQ","bot"
"7","Ihre Videos sind immer so informativ und aufschlussreich! Vielen Dank für dieses Video! 💚🍓","2024-12-03T10:14:00Z","DJxbZnscRT8","bot"
"8","Mir hat es sehr gut gefallen! Danke für eine tolle Zeit! 🍒🧡","2024-12-03T15:27:05Z","_hOxkWk47JU","bot"
"9","Danke für so interessante Ideen! Ihre Videos sind immer wieder inspirierend! 👅💋","2024-12-03T13:09:07Z","6v2mR80Lg2o","bot"
"10","Sehr interessantes und informatives Video! Vielen Dank für Ihre Liebe zum Detail! ✨🍓","2024-12-03T11:15:49Z","TPlSjUbydMc","bot"
"11","Vielen Dank für die Informationen! Ihre Videos sind immer erstklassig! 😚🍒","2024-12-03T13:04:46Z","Y2v3n_80_Hs","bot"
"12","Sehr cool! Vielen Dank für Ihr Engagement für Exzellenz! ✨🍓","2024-12-03T10:13:15Zkt.","8TJUZxd6I9g","bot"
"13","Sehr interessante Herangehensweise an das Thema! Vielen Dank für dieses informative Video! 💖😘","2024-12-03T12:26:10Z","luhJXBGiDCM","bot"
"14","Tolle Themenwahl! Danke für deine interessanten und fesselnden Inhalte! 🍭💝","2024-12-03T13:24:04Z","4FtM8V7s8aU","bot"
"15","Deine Videos sind immer so hilfreich! Vielen Dank für das neue Wissen! 🐱💞","2024-12-03T11:45:26Z","a1y8JkfTOx8","bot"
"16","Danke für die fröhlichen Emotionen! Ihre Videos sind immer so inspirierend! 👄😻👅","2024-12-03T10:17:49Z","cFXIJPQnPXw","bot"
"17","Ihre Videos sind immer so informativ und interessant! Ich danke Ihnen dafür! 💚🍓","2024-12-03T16:23:19Z","c9nFPQ8pCeg","bot"
"18","Sehr interessante Herangehensweise an das Thema! Danke für so ein informatives Video! 💋🔥","2024-12-03T10:16:54Z","DJxbZnscRT8","bot"
"19","Deine Videos sind immer so lohnend und unterhaltsam. Danke für deine Arbeit und dein Talent!🎋🏑☃️","2024-12-03T11:31:53Z","ysFjOtUeFrE","bot"
"20","Danke für die nützlichen Informationen! Mit welchem Objektiv hast du dieses Video gedreht? 🧡💖","2024-12-03T15:22:08Z","y9TJYHwJhyQ","bot"
"21","Sehr interessante Herangehensweise an das Thema! Vielen Dank für dieses informative Video! 😻👅","2024-12-03T12:26:39Z","l0RF_ZqjGoY","bot"
"22","Danke für Ihre Tipps zum Drehbuchschreiben! Wie entscheiden Sie, welche Dialoge Sie in Ihre Videos aufnehmen? 💋🔥","2024-12-04T13:25:21Z","HaoNVhCB01c","bot"
"23","Deine Videos sind eine wahre Oase für den Geist und die Seele. Danke für deine Kreativität und Inspiration!🔺🪖🙀","2024-12-04T14:05:06Z","GMSeN7BK9J0","bot"
"24","Danke für die fröhlichen Emotionen! Ihre Videos sind immer so inspirierend! 💞✨","2024-12-04T17:31:19Z","zsN7g8ZR3Qg","bot"
"25","Ihre Videos sind immer eine Freude zu sehen. Danke für dein Können und deine Kreativität!🥂🚲🔶","2024-12-04T14:46:12Z","_zwuMRWAjNg","bot"
"26","Deine Videos sind immer so hilfreich! Vielen Dank für das neue Wissen! 😛💕","2024-12-04T11:18:01Z","sRHJO4Pj738","bot"
"27","Fantastisch! Vielen Dank für Ihre harte Arbeit und Ihr Talent! 👄😻👅","2024-12-04T10:57:","jNix_RwROBA","bot"
"28","Ihre Videos sind immer so unterhaltsam und informativ! Vielen Dank für diesen Beitrag! 💋🔥","2024-12-04T12:46:43Z","y9S8XJne250","bot"
"29","Deine Videos sind immer so hilfreich! Vielen Dank für das neue Wissen! 😘🍭","2024-12-04T12:46:21Z","y9S8XJne250","bot"
"30","Danke für diese lehrreichen Erzählungen und der musikalischen Untermalung.🙏💕","2024-12-04T23:35:23Z","DlcuDq8Tqvg","bot"
"31","Deine Videos sind immer voller Kreativität und Stil. Vielen Dank für Ihr Können!🐱💖🌎","2024-12-04T08:03:09Z","mlbSQPNWxz8","bot"
"32","Welche Video-Blogger auf YouTube inspirieren dich? 😘🍭","2024-12-05T15:36:48Z","uWqL_TVf8Vo","bot"
"33","Danke für deine harte Arbeit und Hingabe. Deine Videos sind immer eine Freude zu sehen.🐵🟫🤙","2024-12-04T09:02:59Z","lZ9EoJ33x-k","bot"
"34","Ich schätze Ihre Arbeit sehr! Ihre Videos sind immer von so hoher Qualität und Wärme. Machen Sie weiter so!📹🐮🤭","2024-12-04T08:02:33Z","mlbSQPNWxz8","bot"
"35","Sehr anregend! Ich werde mich auf weitere Videos freuen! 🍓🌺","2024-12-04T14:13:15Z","rKNnT6pbLQU","bot"
