ID,Comment,Label,comment_length,word_count,Time_Difference,!_occurring,Dank_occurring,sentence_count,average_word_length,emoji_count
0,Einfach wunderbar! Danke für deine harte Arbeit und dein Talent! 🍓🌺,bot,67,10,0 days 00:00:17,1,1,2,5.3,2
1,Sehr informativ und interessant! Danke für solche Inhalte! 💞✨,bot,61,8,0 days 00:06:29,1,1,2,6.125,2
2,Sehr interessantes Videoformat! Vielen Dank für diesen unkonventionellen Ansatz! 🐱💞,bot,83,9,0 days 00:12:46,1,1,2,7.777777777777778,2
3,Einfach wunderbar! Danke für deine harte Arbeit und dein Talent! 😘🍭,bot,67,10,0 days 00:11:17,1,1,2,5.3,2
4,"Vielen Dank für Ihre harte Arbeit und die Energie, die Sie in jedes Video stecken! 👄😻👅",bot,86,15,0 days 00:00:48,1,1,1,4.4,3
5,Deine Videos sind immer so hilfreich! Vielen Dank für das neue Wissen! 💚🍓,bot,73,12,0 days 00:00:47,1,1,2,4.75,2
6,Ihre Videos sind immer so informativ und interessant! Ich danke Ihnen dafür! 💋🔥,bot,79,12,0 days 00:11:47,1,0,2,5.25,2
7,Ihre Videos sind immer so informativ und aufschlussreich! Vielen Dank für dieses Video! 💚🍓,bot,90,13,0 days 00:09:06,1,1,2,5.615384615384615,2
8,Mir hat es sehr gut gefallen! Danke für eine tolle Zeit! 🍒🧡,bot,59,11,0 days 00:15:28,1,1,2,4.0,2
9,Danke für so interessante Ideen! Ihre Videos sind immer wieder inspirierend! 👅💋,bot,79,11,0 days 00:08:59,1,1,2,5.818181818181818,2
10,Sehr interessantes und informatives Video! Vielen Dank für Ihre Liebe zum Detail! ✨🍓,bot,84,12,0 days 00:15:10,1,1,2,5.666666666666667,2
11,Vielen Dank für die Informationen! Ihre Videos sind immer erstklassig! 😚🍒,bot,73,10,0 days 00:05:28,1,1,2,5.9,2
12,Sehr cool! Vielen Dank für Ihr Engagement für Exzellenz! ✨🍓,bot,59,9,,1,1,2,5.111111111111111,2
