Author,Comment,Video ID
@SkySportFormel1,"🏎 Stream alles an Formel 1, was Sky Sport zu bieten hat – wann und wo Du willst – mit WOW. ➡ https://zly.de/sky/WOW-F1?yt=c",QqD9X_p_L5E
@peterausfranken,Eines müssen aber diesmal auch die Kritiker vom Max mal zugeben. Sein diesjährigen WM Titel hat er nicht weil er im besten Auto fährt.,QqD9X_p_L5E
@NielsHoffmann-q4m,Wenn ich red Bull wäre würde ich Perez endlich kicken und jemanden wie sainz an Board holen 😮,QqD9X_p_L5E
@kit3cut,Wer hätte das gedacht zu Saisonbeginn das Verstappen Weltmeister wird? Unglaublich! Die F1 ist eine der spannensten Rennserien 👍,QqD9X_p_L5E
@andia.4980,Starkes Rennen von Russel und Hamilton.  Glückwunsch an Verstappen!,QqD9X_p_L5E
@cinimini4854,"Die Leute schreiben, Russell hätte sich mehr über seinen Sieg gefreut gefreut, als Max über seinen 4. WM Titel, währenddessen kann man durch das Radio hören, dass Max fast das weinen anfängt, was ist mit den Leuten hier.",QqD9X_p_L5E
@dennislemke5434,Ich liebe es wen Mercedes gewinnt 🩵🖤,QqD9X_p_L5E
@MichaBlogtUndZockt,"Und Perez sitzt immernoch im Redbull....frag mich wielange Helmut das noch erklären kann xD
das ist ja mehr als Armselig",QqD9X_p_L5E
@KurtmitHelmundGurt,Wer zum Geier schaut F1 noch...,QqD9X_p_L5E
@BenZinMG,Danke 👍,QqD9X_p_L5E
@Poppey0,"Gucke nur über YouTube, weil bei Sky on demand 3 Minuten Werbung läuft. Hier in 5 sek. Ist es wirklich „on demand“ und das ohne Abo……",QqD9X_p_L5E
@FuriousGrande,"das krasse ist, wenn Perez mal aus dem knick kommen würde, wäre evtl sogar noch Konstrukteursweltmeister drin",QqD9X_p_L5E
@pustekuchen8956,8:45 „volle Konzentrolle“ 😂😂,QqD9X_p_L5E
@onkelandre4307,Wie Rüssel hat der Benz nicht Gecrasht? Und Opa wurde sogar zweiter.......,QqD9X_p_L5E
@dennisdielo8066,Wie heißt der gezeigte Film?,QqD9X_p_L5E
@franzfriedrich4477,Und nächste Saison kackt Red Bull rein und verstappen wechselt zu Ferrari,QqD9X_p_L5E
@alfredkammerer199,Papa Verstappen in der Formel 1 ein Nicht sund Niemand!!!!!! Und der Sohn ist einer der allerbesten Formel 1 Fahrer die es gibt !!!!! Wie kann das sein????????,QqD9X_p_L5E
@h4rm5_w4y,08:45 Volle Konzentrolle,QqD9X_p_L5E
@schwambo6679,Ne danke. Langsam nervt verstappen,QqD9X_p_L5E
@WH-366,Aston Martin wieder die Nullenhaufen. Bin der Überzeugung die haben die schlechtesten Ingenieure die man in diesem Sport haben kann. Es geht seit Jahren nur noch Rückwärts.,QqD9X_p_L5E
@jimreflax9255,nice,QqD9X_p_L5E
@andreschlaak6686,"13:36 ,,angeschlogen"" 😅😅😅",QqD9X_p_L5E
@oskarbecker2430,Total öde😅,QqD9X_p_L5E
@mirozaradija6865,Verstapen drittes Sieg da erste geklaut wurde somit i ungültig,QqD9X_p_L5E
@crublah,17:32 Russell freut sich als könnte er noch weltmeister werden,QqD9X_p_L5E
@kalle46,"Verstappen winnimg Championship: 😃👌🏼
Russel winning the race:🤯🔥🤯🔥💀🔥💀🔥",QqD9X_p_L5E
@noduj,"Freut mich für Russell, der in Silverstone und Spa Pech gehabt hat.",QqD9X_p_L5E
@andregenter4213,Wie immer zum Einschlafen. Null Emotionen...,QqD9X_p_L5E
@Pinguinkacke,"Früher hat man sich noch gefreut über Titel, Sieg oder Platz 2 und 3.
Heute alles nur noch Prestige und langweilig.",QqD9X_p_L5E
@WernerPinzner-c7i,"Toll wie emotionslos Max Weltmeister wird 😂😂😂 wie die Autos 
Bei Mercedes ist die Freude über den Sieg ja größer… 
Freu mich für Max schade für den Sport die schaffen sich genauso an wie Deutschland…",QqD9X_p_L5E
@ferrymahnke3065,,QqD9X_p_L5E
@75erErnstHaft,Glückwunsch NICO - wie geil ist das denn bitte!!! 10. in der Gesamtwertung. Well done,QqD9X_p_L5E
@vincent9th,"Kommt mir das nur so vor, oder ist das die langweiligste Strecke im Kalender? 🙄 irgendwie völlig emotionslos…",QqD9X_p_L5E
@derbestederjemalslebte,Ist Russel eigentlich schwul?,QqD9X_p_L5E
@patrickcackowski8563,Glückwunsch Verstappen und RED BULL Mercedes  VIVA LAS VEGAS,QqD9X_p_L5E
@teves_9,Siegerehrung zeigen wäre mal ganz nett…,QqD9X_p_L5E
@taylandagdelen8,👍🏻,QqD9X_p_L5E
@zipfelboy1,Glückwunsch an Max und ich bin echt kein Hamilton Fan aber das war heute echt ein starkes Rennen von ihm.👌,QqD9X_p_L5E
@ralphpiekara5612,Wer zum Geier schaut diese Staubsauger Rennen und Hyped diese Fahrer ?,QqD9X_p_L5E
@Clxpz_04,Bin ich der einzige der es lustig findet dass sich Russel mehr über seinen Sieg freut als Verstaopen über seinen 4. WM Titel?😂,QqD9X_p_L5E
@Mr.Kartoffel-f4t,"Diese strecke ist totaler Müll und kann gerne wieder weg!
Aber natürlich bezahlen die genug!
Mercedes hatte nur Glück! Sieht man ja den Rest vom Jahr waren sie Müll!",QqD9X_p_L5E
@UrijTamasov,"PS: wieso hab ich nirgendwo habe ich weder gelesen noch gehört das Max in Brasilien Michael Schumachers Rekord gebrochen hat. 
Michael wahr 896 tage in Folge WM führende, seit Brasilien 2024 ist Max 897 ja plus das heutige Rennen natürlich 
Word Champion 😎🫡",QqD9X_p_L5E
@UrijTamasov,Hamilton hat für so ein Manöver wie es Sainz heute gemacht ( boxen Einfahrt überfahren  ) ja Lewis hat dafür eine Strafe bekommen  und hier hat man nicjt mal me untersucht 😂 2023 glaub ich.,QqD9X_p_L5E
@DamirKeserovic,Ralf geht mir so ultra auf den Sack,QqD9X_p_L5E
@maw8565,Ab 11:05 war das erlaubt das Sainz wieder auf die Strecke gefahren ist?,QqD9X_p_L5E
@jericslater889,With this car MAx will have noch Chance in 2025. Even the secound half of this season. It will be interessting in 2025.,QqD9X_p_L5E
@FeliJoe,3 facher Weltmeister 👍,QqD9X_p_L5E
@xeqable,Wieder bärenstark von Georg Rüssel!,QqD9X_p_L5E
@wadimbgk,"Hab nicht mal gewusst, dass das Rennen Samstag war oder doch Sonntag früh ? Ich Blicks nicht 😂",QqD9X_p_L5E
@futvibes6508,Sir Lewis Hamilton 44 👑,QqD9X_p_L5E
@derspielvogel2124,RTL hat es ja Live übertragen und von 50 Runden waren ca. 20 Runden Werbung 🤣🤣🤣,QqD9X_p_L5E
@xtrollyx_aut,schade verstappen nicht gecrashed..der langweiler wieder weltmeister...hoffentlich nächstes jahr nicht mehr.,QqD9X_p_L5E
@ARTNFS,"Was für eine spannende Saison, 2021 ist zwar nicht zu schlagen und dennoch... Max Verstappen ist nicht aufzuhalten! Gratuliere zum 4 Weltmeistertitel Dir Max! Du bist der Beste! MAX-POINTS!",QqD9X_p_L5E
